EXERANY2,GENHLTH,COUNT
1.0,1.0,1367
1.0,2.0,2049
1.0,3.0,2107
1.0,4.0,588
1.0,5.0,62
2.0,1.0,238
2.0,2.0,393
2.0,3.0,651
2.0,4.0,301
2.0,5.0,39
