EXERANY2,GENHLTH,COUNT
1.0,1.0,940
1.0,2.0,1433
1.0,3.0,1923
1.0,4.0,767
1.0,5.0,83
2.0,1.0,306
2.0,2.0,401
2.0,3.0,870
2.0,4.0,451
2.0,5.0,70
