EXERANY2,GENHLTH,COUNT
1.0,1.0,2699
1.0,2.0,4364
1.0,3.0,3460
1.0,4.0,630
1.0,5.0,39
2.0,1.0,387
2.0,2.0,703
2.0,3.0,908
2.0,4.0,217
2.0,5.0,22
