EXERANY2,GENHLTH,COUNT
1.0,1.0,818
1.0,2.0,1065
1.0,3.0,1056
1.0,4.0,387
1.0,5.0,42
2.0,1.0,123
2.0,2.0,186
2.0,3.0,358
2.0,4.0,174
2.0,5.0,36
