EXERANY2,GENHLTH,COUNT
1.0,1.0,10903
1.0,2.0,14201
1.0,3.0,5965
1.0,4.0,578
1.0,5.0,46
2.0,1.0,757
2.0,2.0,1547
2.0,3.0,1147
2.0,4.0,214
2.0,5.0,19
