EXERANY2,GENHLTH,COUNT
1.0,1.0,8353
1.0,2.0,12171
1.0,3.0,6299
1.0,4.0,669
1.0,5.0,40
2.0,1.0,544
2.0,2.0,1139
2.0,3.0,995
2.0,4.0,202
2.0,5.0,13
