EXERANY2,GENHLTH,COUNT
1.0,1.0,3285
1.0,2.0,5623
1.0,3.0,4087
1.0,4.0,682
1.0,5.0,58
2.0,1.0,470
2.0,2.0,959
2.0,3.0,1222
2.0,4.0,317
2.0,5.0,23
